X,Y,FID,Name_of_Sc,Level_,Status,SchSponsor,Type1,Type2,Type3,PupilTeach,ClassrmRat,ToiletRati,No_Classrm,BoysToilet,GirlsToilet,TeachersTo,TotalToile,TotalBoys,TotalGirls,TotalEnrol,GO_KTSC_M,GOK_TSC_F,authorityM,authorityF,PTA_BOG_M,PTA_BOG_F,OthersM,OthersF,NoTeaching,NonTeachin,Province,District,Division,Location,Costituenc,Latitude,Longitude
34.6,0.18,15705,EMAKO PR  SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,54.2,49.3,30.1,11,9,9,2,0,0,0,542,4,6,0,0,0,0,0,0,1,5,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.18,34.6
34.21,0.46,15706,NASIRA PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,INTEGRATED,61.6,51.3,84,18,5,6,2,0,0,0,924,7,5,0,0,1,2,0,0,2,1,WESTERN,BUSIA,MATAYOS,BUSIBWABO,NAMBALE,0.46,34.21
34.7,0.11,15707,VIYALO PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,42,30,21,14,10,10,4,0,0,0,420,8,2,0,0,0,0,0,0,2,1,WESTERN,VIHIGA,SABATIA,CHAVAKALI,SABATIA,0.11,34.7
34.62,0.16,15708,ELUKANJI PRI SCH.,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,51.1,65,119.2,11,3,3,2,0,0,0,715,6,5,0,0,2,1,0,0,2,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.16,34.62
34.24,0.45,15709,NAMBALE AC PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,138.1,46,74.4,21,4,9,2,0,0,0,967,6,1,0,0,0,0,0,0,2,0,WESTERN,BUSIA,NAMBALE,NAMBALE T/SHIP,NAMBALE,0.45,34.24
34.69,0.11,15710,KIGUNGA PRY SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,48.8,48.8,0,8,0,0,0,0,0,0,390,3,5,0,0,0,0,0,0,1,1,WESTERN,VIHIGA,SABATIA,CHAVAKALI,SABATIA,0.11,34.69
34.62,0.18,15711,EMULOLE PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,53.3,45.6,35.5,14,8,10,2,0,0,0,639,6,5,0,0,0,1,0,0,2,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.18,34.62
34.7,0.12,15712,HAMUYUNDI PRY SCH,PRIMARY SCHOOL,PUBLIC, ,MIXED,DAY ONLY,ORDINARY,37.3,41,22.8,10,9,9,2,0,0,0,410,7,4,0,0,0,0,0,0,1,1,WESTERN,VIHIGA,SABATIA,WEST MARAGOLI,SABATIA,0.12,34.7
34.23,0.43,15713,BUSIDIBU PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,57.1,71.4,95.2,12,4,5,2,0,0,0,857,5,10,0,0,0,0,0,0,2,5,WESTERN,BUSIA,MATAYOS,BUSIBWABO,NAMBALE,0.43,34.23
34.63,0.17,15714,EMWIRU PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,29,31.4,37.7,12,4,6,3,0,0,0,377,5,4,0,0,4,0,0,0,1,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.17,34.63
34.69,0.12,15715,ST. PATRICK'S HALOMBOVE PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,33.6,37.3,33.6,9,3,7,3,0,0,0,336,6,3,0,0,0,1,0,0,2,1,WESTERN,VIHIGA,SABATIA,CHAVAKALI,SABATIA,0.12,34.69
